State,Region
Alabama,East
Arizona,West
Arkansas,Central
California,West
Colorado,West
Connecticut,East
Delaware,East
Florida,East
Georgia,East
Idaho,West
Illinois,Central
Indiana,Central
Iowa,Central
Kansas,Central
Kentucky,East
Louisiana,Central
Maine,East
Maryland,East
Massachusetts,East
Michigan,Central
Minnesota,Central
Mississippi,Central
Missouri,Central
Montana,West
Nebraska,Central
Nevada,West
New Hampshire,East
New Jersey,East
New Mexico,West
New York,East
North Carolina,East
North Dakota,Central
Ohio,Central
Oklahoma,Central
Oregon,West
Pennsylvania,East
Rhode Island,East
South Carolina,East
South Dakota,Central
Tennessee,East
Texas,Central
Utah,West
Vermont,East
Virginia,East
Washington,West
West Virginia,East
Wisconsin,Central
Wyoming,West
